word,quantity,day
на,824,1
в,741,1
и,521,1
ли,473,1
есть,448,1
кто,436,1
с,375,1
по,375,1
привет,339,1
как,332,1
всем,270,1
у,259,1
подскажите,194,1
если,188,1
можно,185,1
пожалуйста,170,1
не,164,1
что,160,1
может,134,1
или,124,1
из,116,1
анон,109,1
для,97,1
здравствуйте,86,1
кого,82,1
за,79,1
направление,76,1
а,73,1
ктото,70,1
про,70,1
ктонибудь,69,1
добрый,69,1
к,67,1
день,64,1
расскажите,62,1
сколько,61,1
какие,61,1
учится,61,1
ребят,60,1
я,58,1
то,57,1
будет,56,1
хочу,56,1
технологии,56,1
проходит,55,1
знает,55,1
помочь,54,1
поступать,53,1
вопрос,53,1
тут,53,1
те,53,1
курса,53,1
после,52,1
где,51,1
академ,51,1
это,50,1
курс,49,1
когда,49,1
рассказать,49,1
вас,49,1
бы,48,1
можете,47,1
о,47,1
курсе,47,1
поступить,46,1
этом,46,1
экзамен,45,1
ребята,43,1
вам,42,1
обучение,42,1
проходят,42,1
возможно,41,1
бюджет,41,1
узнать,41,1
доброго,41,1
стоит,40,1
политехе,40,1
году,39,1
перевестись,39,1
обучения,39,1
получить,38,1
вы,38,1
которые,37,1
вообще,37,1
вступительные,37,1
вуза,36,1
политех,36,1
направления,35,1
меня,35,1
уже,35,1
могут,34,1
информационные,33,1
вузе,33,1
времени,33,1
но,33,1
учиться,33,1
там,33,1
сложно,33,1
дизайн,32,1
общежитие,32,1
же,32,1
общаге,31,1
при,31,1
магистратуру,31,1
общественностью,31,1
другого,30,1
от,30,1
сейчас,30,1
все,29,1
общагу,29,1
до,28,1
анонимно,28,1
группы,28,1
только,28,1
был,28,1
системы,28,1
нибудь,27,1
физре,27,1
время,27,1
направлении,27,1
связи,27,1
чтобы,27,1
специальности,26,1
факультет,25,1
дела,25,1
вуз,25,1
реально,25,1
суток,25,1
поступаю,25,1
управление,25,1
магистратуре,24,1
поступил,24,1
закрыть,23,1
нет,23,1
беседа,23,1
взять,23,1
скажите,23,1
какой,23,1
об,23,1
принимает,23,1
поводу,22,1
пары,22,1
общаги,22,1
лучше,22,1
каких,22,1
управления,21,1
вопросы,21,1
нас,21,1
общежитии,21,1
пд,21,1
сессии,21,1
люди,21,1
без,20,1
насколько,20,1
во,20,1
обычно,20,1
семестр,20,1
нужно,20,1
диплома,20,1
планирую,20,1
баллов,20,1
экзамены,20,1
расписание,19,1
дело,19,1
направлению,19,1
первого,19,1
их,19,1
хотелось,19,1
такой,19,1
общежития,19,1
сдавал,19,1
делать,18,1
заочке,18,1
возможность,18,1
пересдачи,18,1
какое,18,1
сдать,18,1
семестра,18,1
кому,18,1
каком,18,1
здесь,18,1
так,18,1
тебя,17,1
стипендию,17,1
факультета,17,1
диплом,16,1
учатся,16,1
другое,16,1
этот,16,1
переводился,16,1
подсказать,16,1
перевода,16,1
ты,16,1
сентября,15,1
студентов,15,1
со,15,1
приветствую,15,1
год,15,1
специальность,15,1
очно,15,1
когото,15,1
занятия,15,1
всего,15,1
пересдача,15,1
университете,15,1
реклама,15,1
сделать,15,1
дают,15,1
куда,15,1
рекламу,14,1
этой,14,1
место,14,1
всех,14,1
опыт,14,1
вопросов,14,1
политеха,14,1
года,14,1
хотела,14,1
сюда,14,1
рассматриваю,14,1
выбрать,14,1
были,14,1
предмету,14,1
другой,14,1
обстоят,13,1
будут,13,1
почему,13,1
физру,13,1
первом,13,1
причине,13,1
когонибудь,13,1
пж,13,1
дня,13,1
учебу,13,1
документы,13,1
технологий,13,1
информатика,13,1
сказать,13,1
найти,13,1
пройти,13,1
информационных,13,1
могу,13,1
семестре,13,1
истории,13,1
сайте,12,1
уйти,12,1
тех,12,1
дистанционно,12,1
заявление,12,1
думаю,12,1
обучении,12,1
перевод,12,1
второй,12,1
места,12,1
работать,12,1
производства,12,1
оно,12,1
никто,12,1
студенты,12,1
быть,12,1
была,12,1
правда,12,1
очень,11,1
графический,11,1
какая,11,1
бизнесом,11,1
пересдачу,11,1
работы,11,1
она,11,1
раз,11,1
они,11,1
мест,11,1
академа,11,1
надо,11,1
направлениях,11,1
этого,11,1
происходит,11,1
форме,11,1
один,11,1
целом,11,1
хотел,11,1
безопасность,11,1
баллы,11,1
дадут,11,1
поможет,11,1
поступал,11,1
вариант,11,1
лекции,11,1
написать,10,1
переводиться,10,1
повышенной,10,1
комфортности,10,1
того,10,1
одного,10,1
лабы,10,1
много,10,1
рекламы,10,1
заочку,10,1
первокурсников,10,1
онлайн,10,1
ещ,10,1
магистратуры,10,1
индустрии,10,1
корпусе,10,1
сессия,10,1
очнозаочное,10,1
он,10,1
баллами,10,1
собираюсь,10,1
именно,10,1
факультете,10,1
через,10,1
компьютерной,10,1
экзаменов,10,1
комиссии,9,1
группа,9,1
заочное,9,1
другую,9,1
инженерия,9,1
было,9,1
между,9,1
поделиться,9,1
часто,9,1
чтото,9,1
интеллектуальные,9,1
мне,9,1
какието,9,1
шансы,9,1
справку,9,1
поступления,9,1
корпусах,9,1
прикладная,9,1
своих,9,1
больше,9,1
комнате,9,1
стипендия,9,1
спросить,9,1
брать,9,1
математике,9,1
игровой,9,1
испытания,9,1
обеспечение,9,1
работает,9,1
преподавателей,9,1
получения,9,1
недели,9,1
ходить,9,1
да,9,1
договориться,9,1
зачет,9,1
универе,9,1
социальную,8,1
пересдач,8,1
издательское,8,1
друзья,8,1
мультимедиа,8,1
вступительным,8,1
университета,8,1
такое,8,1
преподы,8,1
очнозаочной,8,1
очное,8,1
ивт,8,1
проекта,8,1
учился,8,1
программная,8,1
попасть,8,1
обработки,8,1
комнаты,8,1
сразу,8,1
снимать,8,1
месяц,8,1
поступивших,8,1
подать,8,1
тем,8,1
систем,8,1
направлений,8,1
основном,8,1
еще,8,1
предметы,8,1
вебтехнологии,8,1
товарищи,8,1
студентам,8,1
безопасности,8,1
учба,8,1
данные,8,1
вступительных,8,1
совмещать,8,1
практику,8,1
данном,8,1
сдавать,8,1
дизайне,8,1
программное,8,1
кем,8,1
курсовую,8,1
комиссия,8,1
втором,8,1
разница,8,1
шарит,8,1
находил,8,1
вс,8,1
посмотреть,7,1
людей,7,1
вузов,7,1
предметов,7,1
предмет,7,1
пару,7,1
долгов,7,1
системная,7,1
несколько,7,1
материалов,7,1
выйти,7,1
примерно,7,1
заселение,7,1
пересдать,7,1
красного,7,1
какого,7,1
справки,7,1
строительство,7,1
буду,7,1
издательского,7,1
данный,7,1
рекламе,7,1
отпуск,7,1
номер,7,1
эту,7,1
экономика,7,1
прошлом,7,1
информационной,7,1
них,7,1
срочно,7,1
ее,7,1
какую,7,1
колледжа,7,1
данных,7,1
практика,7,1
ваш,7,1
егэ,7,1
потом,7,1
программы,7,1
институте,7,1
сдал,7,1
этих,7,1
магистры,7,1
теперь,7,1
оценки,7,1
интересует,7,1
брал,7,1
обратиться,7,1
препод,7,1
университет,7,1
народ,7,1
чем,7,1
клуб,7,1
пк,7,1
комиссию,7,1
курсы,7,1
форма,6,1
менеджмент,6,1
бакалавриат,6,1
под,6,1
вечер,6,1
графика,6,1
себе,6,1
посвят,6,1
поступает,6,1
отчислили,6,1
такая,6,1
разницы,6,1
спортивные,6,1
пар,6,1
студенческий,6,1
неделю,6,1
го,6,1
заочно,6,1
задать,6,1
программе,6,1
вероятность,6,1
течение,6,1
шанс,6,1
на,780,2
в,742,2
и,563,2
кто,504,2
есть,450,2
с,388,2
ли,358,2
по,345,2
как,330,2
привет,295,2
у,257,2
всем,244,2
не,182,2
что,165,2
может,154,2
из,144,2
можно,144,2
или,138,2
