word,quantity
на,780
в,742
и,563
кто,504
есть,450
с,388
ли,358
по,345
как,330
привет,295
у,257
всем,244
не,182
что,165
может,154
из,144
можно,144
или,138
пожалуйста,114
если,112
подскажите,109
для,92
здравствуйте,86
за,85
я,85
а,85
ребят,83
помочь,78
к,78
анон,74
ктонибудь,70
курс,67
о,66
учится,63
тут,62
расскажите,61
политехе,61
кого,60
ребята,60
поступать,58
добрый,58
экзамен,56
вопрос,55
день,55
ктото,54
знает,52
будет,52
вы,52
рассказать,52
после,51
проходит,51
где,51
технологии,49
про,49
бы,48
но,48
какие,45
уже,45
можете,44
перевестись,43
принимает,42
когда,42
это,42
направление,42
поступить,41
вас,41
курсе,40
хочу,39
вам,39
обучения,39
этом,39
политех,39
группы,39
при,38
вообще,37
которые,37
те,37
информационные,36
узнать,36
то,36
году,35
люди,35
со,34
нибудь,34
общаги,34
от,33
бюджет,33
учиться,32
направления,32
сколько,32
системы,31
нужно,31
меня,31
общагу,31
реально,30
общаге,30
вуз,30
здесь,30
вуза,30
беседа,30
какой,29
политеха,29
академ,28
пд,28
лучше,28
курса,27
был,27
нет,26
получить,26
анонимно,26
чтобы,26
сложно,25
баллов,25
мне,25
направлении,25
общежитие,25
другого,24
там,24
доброго,23
дизайн,23
время,23
без,23
стоит,23
такой,23
обучение,23
делать,22
времени,22
все,22
вузе,22
связи,22
студенты,22
насколько,22
больше,22
дело,21
куда,21
сдавал,21
скажите,21
поступил,21
экзамены,20
планирую,20
его,20
первом,20
опыт,20
сейчас,20
дела,20
только,20
так,20
общественностью,20
магистратуры,20
хотелось,20
народ,20
выбрать,20
сессии,19
год,19
сделать,19
когонибудь,19
какое,19
ты,19
общежития,19
изза,18
суток,18
заявление,18
будут,18
факультет,18
сдать,18
приветствую,18
всего,18
шарит,18
кому,17
каком,17
об,17
специальности,17
второй,17
семестр,17
вступительных,17
еще,17
этого,17
систем,17
сдавать,17
общага,17
до,16
проходят,16
никто,16
егэ,16
могут,16
студентов,16
учатся,16
ни,16
перевода,16
издательское,16
вс,15
зачет,15
возможно,15
пересдача,15
какая,15
нас,15
ещ,15
они,15
комнату,15
сайте,15
могу,14
он,14
поводу,14
физре,14
один,14
магистратуру,14
подсказать,14
вот,14
хотел,14
предмету,14
семестра,14
пересдачу,14
почему,14
хотя,14
быть,14
мест,14
года,14
вступительные,13
пары,13
сможет,13
когото,13
него,13
ваш,13
находил,13
информатика,13
управления,13
комнаты,13
чем,13
какую,13
вопросов,12
прошлом,12
найти,12
управление,12
возможность,12
пересдачи,12
специальность,12
рассматриваю,12
закрыть,12
лабы,12
факультета,12
обработки,12
московский,12
дизайне,12
всех,12
вопросы,12
сюда,12
просто,12
этот,12
который,12
другую,12
безопасность,12
тд,11
диплом,11
корпусе,11
физике,11
направлению,11
каким,11
во,11
академа,11
программирования,11
хорошо,11
дизайна,11
расписание,11
же,11
собираюсь,11
много,11
дистанционно,11
группу,11
очень,11
переводился,11
холодильник,11
их,11
баллами,11
взять,10
поделиться,10
графический,10
поступления,10
вариант,10
связаться,10
предметов,10
через,10
место,10
обстоят,10
колледжа,10
предмет,10
да,10
какого,10
числа,10
другой,10
программное,10
обеспечение,10
рекламе,10
фит,10
пряниках,10
сессия,10
зачт,10
общежитии,10
сессию,10
было,10
думаю,10
реклама,10
надо,10
ну,10
них,10
тем,10
документы,10
посмотреть,10
ответы,10
раз,10
целом,9
дней,9
каких,9
работы,9
работу,9
справку,9
университете,9
прикладная,9
производства,9
помощь,9
она,9
компьютерной,9
учусь,9
происходит,9
дают,9
учебу,9
сегодня,9
интересно,9
сказать,9
эти,9
поступал,9
первый,9
друзья,9
том,9
го,9
машиностроения,9
проекта,9
проект,9
информационных,9
вебтехнологии,9
клуб,9
остались,9
технологий,9
несколько,9
чат,9
преподы,8
работает,8
автозаводской,8
мультимедиа,8
магистратуре,8
писал,8
человек,8
учебе,8
первого,8
нашем,8
срочно,8
шанс,8
подать,8
комиссии,8
игровой,8
индустрии,8
математику,8
другое,8
стипендия,8
того,8
ходить,8
ней,8
технических,8
курсов,8
автазе,8
получил,8
отчислении,8
кем,8
тоже,8
связь,8
справки,8
перевожусь,8
веб,8
пройти,8
норм,8
хотела,8
онлайн,8
примеры,8
графики,8
были,8
мы,8
математике,8
группа,8
медиаиндустрии,8
большой,7
информации,7
семестре,7
николаевич,7
между,7
както,7
внутри,7
математика,7
обычно,7
тех,7
результаты,7
диплома,7
тебя,7
какието,7
сразу,7
такое,7
хотят,7
варианты,7
поможет,7
переводиться,7
рекламы,7
шансы,7
пересдаче,7
одного,7
упаковочного,7
